model,method,image,deletion_auc,insertion_auc
resnet18,eigencam,7009-75.jpg,0.2475680410861969,0.8495395183563232
resnet18,eigencam,7009-95.jpg,0.12833210825920105,0.9456745386123657
resnet18,eigencam,7010-227.jpg,0.30625417828559875,0.8112154006958008
resnet18,eigencam,7010-62.jpg,0.29035988450050354,0.8867390155792236
resnet18,eigencam,7010-82.jpg,0.12436040490865707,0.847319483757019
resnet18,eigencam,7010-96.jpg,0.37981441617012024,0.8576170802116394
resnet18,eigencam,7010-97.jpg,0.16182085871696472,0.7172908782958984
resnet18,eigencam,7011-134.jpg,0.14110979437828064,0.873550534248352
resnet18,eigencam,7011-142.jpg,0.05957159399986267,0.6748054623603821
resnet18,eigencam,7011-143.jpg,0.7921210527420044,0.20048508048057556
resnet18,eigencam,7011-171.jpg,0.04214939847588539,0.8821800947189331
resnet18,eigencam,7011-18.jpg,0.1374712437391281,0.9136373996734619
resnet18,eigencam,7011-192.jpg,0.5721490383148193,0.8533077836036682
resnet18,eigencam,7011-204.jpg,0.37045541405677795,0.9449701309204102
resnet18,eigencam,7011-25.jpg,0.19079150259494781,0.8921112418174744
resnet18,eigencam,7012-103.jpg,0.790273129940033,0.11173129081726074
resnet18,eigencam,7012-119.jpg,0.267382949590683,0.8779237866401672
resnet18,eigencam,7012-128.jpg,0.0938667431473732,0.7932815551757812
resnet18,eigencam,7012-13.jpg,0.18794141709804535,0.8743186593055725
resnet18,eigencam,7012-49.jpg,0.33228251338005066,0.8595802783966064
resnet18,eigencam,7012-67.jpg,0.23893505334854126,0.8659026622772217
resnet18,eigencam,7013-150.jpg,0.31204161047935486,0.8775616884231567
resnet18,eigencam,7013-184.jpg,0.3099753260612488,0.9394304752349854
resnet18,eigencam,7013-81.jpg,0.831662118434906,0.21315595507621765
resnet18,eigencam,7013-99.jpg,0.9023105502128601,0.20304131507873535
resnet18,eigencam,7014-222.jpg,0.2090209573507309,0.8544065952301025
resnet18,eigencam,7016-136.jpg,0.3240509331226349,0.8678962588310242
resnet18,eigencam,7016-204.jpg,0.16612188518047333,0.4487018585205078
resnet18,eigencam,7016-65.jpg,0.4876597225666046,0.9278953075408936
resnet18,eigencam,7017-130.jpg,0.26811009645462036,0.6823111176490784
resnet18,eigencam,7017-190.jpg,0.2775454819202423,0.47296202182769775
resnet18,eigencam,7017-4.jpg,0.27658411860466003,0.6904102563858032
resnet18,eigencam,7017-61.jpg,0.3425021171569824,0.787800669670105
resnet18,eigencam,7017-8.jpg,0.06623461097478867,0.8569115996360779
resnet18,eigencam,7018-177.jpg,0.14963798224925995,0.7361764907836914
resnet18,eigencam,7018-26.jpg,0.34024107456207275,0.7851831316947937
resnet18,eigencam,7018-65.jpg,0.044200219213962555,0.7280716300010681
resnet18,eigencam,7019-191.jpg,0.19107206165790558,0.7430564165115356
resnet18,eigencam,7019-2.jpg,0.12696731090545654,0.6149305701255798
resnet18,eigencam,7019-210.jpg,0.863664984703064,0.288106232881546
resnet18,eigencam,7019-40.jpg,0.23767732083797455,0.8582090139389038
resnet18,eigencam,7019-73.jpg,0.21833935379981995,0.8129925727844238
resnet18,eigencam,7020-141.jpg,0.22970284521579742,0.8942719101905823
resnet18,eigencam,7020-143.jpg,0.16449850797653198,0.7718486785888672
